"species_en","year","zone","area_sampled_km2","habitat","method","monitoring","breeding_status","ind_density_km2"
"Red-throated loon","2019","malaview"," 60.10","mixed","nest sampling","systematic","breeding","   0.067"
"Red-throated loon","2022","malaview"," 60.10","mixed","nest sampling","systematic","breeding","   0.033"
"Red-throated loon","2017","qarlikturvik valley"," 64.98","mixed","nest sampling","systematic","breeding","   0.062"
"Red-throated loon","2018","qarlikturvik valley"," 64.98","mixed","nest sampling","systematic","breeding","   0.062"
"Red-throated loon","2019","qarlikturvik valley"," 64.98","mixed","nest sampling","systematic","breeding","   0.123"
"Red-throated loon","2022","qarlikturvik valley"," 64.98","mixed","nest sampling","systematic","breeding","   0.123"
"Red-throated loon","2017","south plateau"," 12.24","upland","nest sampling","systematic","breeding","   0.000"
"Red-throated loon","2018","south plateau"," 12.24","upland","nest sampling","systematic","breeding","   0.000"
"Red-throated loon","2019","south plateau"," 12.24","upland","nest sampling","systematic","breeding","   0.000"
"Red-throated loon","2022","south plateau"," 12.24","upland","nest sampling","systematic","breeding","   0.000"
"Red-throated loon","2017","study area","388.80","mixed","nest sampling","systematic","breeding","   0.108"
"Red-throated loon","2018","study area","388.80","mixed","nest sampling","systematic","breeding","   0.195"
"Red-throated loon","2019","study area","388.80","mixed","nest sampling","systematic","breeding","   0.180"
"Red-throated loon","2022","study area","388.80","mixed","nest sampling","systematic","breeding","   0.170"
"Rock ptarmigan","2005","8 km2 plot","  8.13","mixed","nest sampling","opportunistic","breeding","   0.000"
"Rock ptarmigan","2006","8 km2 plot","  8.13","mixed","nest sampling","opportunistic","breeding","   0.000"
"Rock ptarmigan","2007","8 km2 plot","  8.13","mixed","nest sampling","opportunistic","breeding","   0.000"
"Rock ptarmigan","2008","8 km2 plot","  8.13","mixed","nest sampling","opportunistic","breeding","   0.000"
"Rock ptarmigan","2009","8 km2 plot","  8.13","mixed","nest sampling","opportunistic","breeding","   0.246"
"Rock ptarmigan","2010","8 km2 plot","  8.13","mixed","nest sampling","opportunistic","breeding","   0.000"
"Rock ptarmigan","2011","8 km2 plot","  8.13","mixed","nest sampling","opportunistic","breeding","   0.000"
"Rock ptarmigan","2012","8 km2 plot","  8.13","mixed","nest sampling","opportunistic","breeding","   0.000"
"Rock ptarmigan","2013","8 km2 plot","  8.13","mixed","nest sampling","opportunistic","breeding","   0.000"
"Rock ptarmigan","2014","8 km2 plot","  8.13","mixed","nest sampling","opportunistic","breeding","   0.000"
"Rock ptarmigan","2015","8 km2 plot","  8.13","mixed","nest sampling","opportunistic","breeding","   0.246"
"Rock ptarmigan","2016","8 km2 plot","  8.13","mixed","nest sampling","opportunistic","breeding","   0.246"
"Rock ptarmigan","2017","8 km2 plot","  8.13","mixed","nest sampling","opportunistic","breeding","   0.000"
"Rock ptarmigan","2018","8 km2 plot","  8.13","mixed","nest sampling","opportunistic","breeding","   0.000"
"Rock ptarmigan","2019","8 km2 plot","  8.13","mixed","nest sampling","opportunistic","breeding","   0.000"
"Rock ptarmigan","2022","8 km2 plot","  8.13","mixed","nest sampling","opportunistic","breeding","   0.246"
"Rough-legged hawk","2007","black plateau"," 34.12","upland","nest sampling","systematic","breeding","   0.000"
"Rough-legged hawk","2008","black plateau"," 34.12","upland","nest sampling","systematic","breeding","   0.000"
"Rough-legged hawk","2009","black plateau"," 34.12","upland","nest sampling","systematic","breeding","   0.117"
"Rough-legged hawk","2010","black plateau"," 34.12","upland","nest sampling","systematic","breeding","   0.469"
"Rough-legged hawk","2011","black plateau"," 34.12","upland","nest sampling","systematic","breeding","   0.469"
"Rough-legged hawk","2012","black plateau"," 34.12","upland","nest sampling","systematic","breeding","   0.293"
"Rough-legged hawk","2013","black plateau"," 34.12","upland","nest sampling","systematic","breeding","   0.000"
"Rough-legged hawk","2014","black plateau"," 34.12","upland","nest sampling","systematic","breeding","   0.703"
"Rough-legged hawk","2015","black plateau"," 34.12","upland","nest sampling","systematic","breeding","   0.469"
"Rough-legged hawk","2016","black plateau"," 34.12","upland","nest sampling","systematic","breeding","   0.528"
"Rough-legged hawk","2017","black plateau"," 34.12","upland","nest sampling","systematic","breeding","   0.059"
"Rough-legged hawk","2018","black plateau"," 34.12","upland","nest sampling","systematic","breeding","   0.234"
"Rough-legged hawk","2019","black plateau"," 34.12","upland","nest sampling","systematic","breeding","   0.703"
"Rough-legged hawk","2022","black plateau"," 34.12","upland","nest sampling","systematic","breeding","   0.117"
"Rough-legged hawk","2013","camp 2"," 79.84","mixed","nest sampling","systematic","breeding","   0.000"
"Rough-legged hawk","2014","camp 2"," 79.84","mixed","nest sampling","systematic","breeding","   0.000"
"Rough-legged hawk","2015","camp 2"," 79.84","mixed","nest sampling","systematic","breeding","   0.000"
"Rough-legged hawk","2016","camp 2"," 79.84","mixed","nest sampling","systematic","breeding","   0.025"
"Rough-legged hawk","2017","camp 2"," 79.84","mixed","nest sampling","systematic","breeding","   0.000"
"Rough-legged hawk","2018","camp 2"," 79.84","mixed","nest sampling","systematic","breeding","   0.000"
"Rough-legged hawk","2019","camp 2"," 79.84","mixed","nest sampling","systematic","breeding","   0.025"
"Rough-legged hawk","2022","camp 2"," 79.84","mixed","nest sampling","systematic","breeding","   0.000"
"Rough-legged hawk","2013","camp 3"," 32.95","mixed","nest sampling","systematic","breeding","   0.000"
"Rough-legged hawk","2014","camp 3"," 32.95","mixed","nest sampling","systematic","breeding","   0.121"
"Rough-legged hawk","2015","camp 3"," 32.95","mixed","nest sampling","systematic","breeding","   0.121"
"Rough-legged hawk","2016","camp 3"," 32.95","mixed","nest sampling","systematic","breeding","   0.121"
"Rough-legged hawk","2017","camp 3"," 32.95","mixed","nest sampling","systematic","breeding","   0.121"
"Rough-legged hawk","2018","camp 3"," 32.95","mixed","nest sampling","systematic","breeding","   0.000"
"Rough-legged hawk","2019","camp 3"," 32.95","mixed","nest sampling","systematic","breeding","   0.121"
"Rough-legged hawk","2022","camp 3"," 32.95","mixed","nest sampling","systematic","breeding","   0.000"
"Rough-legged hawk","2013","camp 3 plateau"," 30.27","upland","nest sampling","systematic","breeding","   0.000"
"Rough-legged hawk","2014","camp 3 plateau"," 30.27","upland","nest sampling","systematic","breeding","   0.198"
"Rough-legged hawk","2015","camp 3 plateau"," 30.27","upland","nest sampling","systematic","breeding","   0.198"
"Rough-legged hawk","2016","camp 3 plateau"," 30.27","upland","nest sampling","systematic","breeding","   0.198"
"Rough-legged hawk","2017","camp 3 plateau"," 30.27","upland","nest sampling","systematic","breeding","   0.132"
"Rough-legged hawk","2018","camp 3 plateau"," 30.27","upland","nest sampling","systematic","breeding","   0.000"
"Rough-legged hawk","2019","camp 3 plateau"," 30.27","upland","nest sampling","systematic","breeding","   0.396"
"Rough-legged hawk","2022","camp 3 plateau"," 30.27","upland","nest sampling","systematic","breeding","   0.066"
"Rough-legged hawk","2013","dufour"," 33.08","mixed","nest sampling","systematic","breeding","   0.000"
"Rough-legged hawk","2014","dufour"," 33.08","mixed","nest sampling","systematic","breeding","   0.121"
"Rough-legged hawk","2015","dufour"," 33.08","mixed","nest sampling","systematic","breeding","   0.121"
"Rough-legged hawk","2016","dufour"," 33.08","mixed","nest sampling","systematic","breeding","   0.181"
"Rough-legged hawk","2017","dufour"," 33.08","mixed","nest sampling","systematic","breeding","   0.000"
"Rough-legged hawk","2018","dufour"," 33.08","mixed","nest sampling","systematic","breeding","   0.121"
"Rough-legged hawk","2019","dufour"," 33.08","mixed","nest sampling","systematic","breeding","   0.181"
"Rough-legged hawk","2022","dufour"," 33.08","mixed","nest sampling","systematic","breeding","   0.000"
"Rough-legged hawk","2013","goose point"," 41.22","mixed","nest sampling","systematic","breeding","   0.000"
"Rough-legged hawk","2014","goose point"," 41.22","mixed","nest sampling","systematic","breeding","   0.194"
"Rough-legged hawk","2015","goose point"," 41.22","mixed","nest sampling","systematic","breeding","   0.097"
"Rough-legged hawk","2016","goose point"," 41.22","mixed","nest sampling","systematic","breeding","   0.146"
"Rough-legged hawk","2017","goose point"," 41.22","mixed","nest sampling","systematic","breeding","   0.000"
"Rough-legged hawk","2018","goose point"," 41.22","mixed","nest sampling","systematic","breeding","   0.000"
"Rough-legged hawk","2019","goose point"," 41.22","mixed","nest sampling","systematic","breeding","   0.049"
"Rough-legged hawk","2022","goose point"," 41.22","mixed","nest sampling","systematic","breeding","   0.000"
"Rough-legged hawk","2013","malaview"," 60.10","mixed","nest sampling","systematic","breeding","   0.000"
"Rough-legged hawk","2014","malaview"," 60.10","mixed","nest sampling","systematic","breeding","   0.067"
"Rough-legged hawk","2015","malaview"," 60.10","mixed","nest sampling","systematic","breeding","   0.000"
"Rough-legged hawk","2016","malaview"," 60.10","mixed","nest sampling","systematic","breeding","   0.067"
"Rough-legged hawk","2017","malaview"," 60.10","mixed","nest sampling","systematic","breeding","   0.000"
"Rough-legged hawk","2018","malaview"," 60.10","mixed","nest sampling","systematic","breeding","   0.000"
"Rough-legged hawk","2019","malaview"," 60.10","mixed","nest sampling","systematic","breeding","   0.033"
"Rough-legged hawk","2022","malaview"," 60.10","mixed","nest sampling","systematic","breeding","   0.000"
"Rough-legged hawk","2007","qarlikturvik valley"," 64.98","mixed","nest sampling","systematic","breeding","   0.000"
"Rough-legged hawk","2008","qarlikturvik valley"," 64.98","mixed","nest sampling","systematic","breeding","   0.031"
"Rough-legged hawk","2009","qarlikturvik valley"," 64.98","mixed","nest sampling","systematic","breeding","   0.000"
"Rough-legged hawk","2010","qarlikturvik valley"," 64.98","mixed","nest sampling","systematic","breeding","   0.123"
"Rough-legged hawk","2011","qarlikturvik valley"," 64.98","mixed","nest sampling","systematic","breeding","   0.062"
"Rough-legged hawk","2012","qarlikturvik valley"," 64.98","mixed","nest sampling","systematic","breeding","   0.031"
"Rough-legged hawk","2013","qarlikturvik valley"," 64.98","mixed","nest sampling","systematic","breeding","   0.000"
"Rough-legged hawk","2014","qarlikturvik valley"," 64.98","mixed","nest sampling","systematic","breeding","   0.062"
"Rough-legged hawk","2015","qarlikturvik valley"," 64.98","mixed","nest sampling","systematic","breeding","   0.062"
"Rough-legged hawk","2016","qarlikturvik valley"," 64.98","mixed","nest sampling","systematic","breeding","   0.092"
"Rough-legged hawk","2017","qarlikturvik valley"," 64.98","mixed","nest sampling","systematic","breeding","   0.000"
"Rough-legged hawk","2018","qarlikturvik valley"," 64.98","mixed","nest sampling","systematic","breeding","   0.062"
"Rough-legged hawk","2019","qarlikturvik valley"," 64.98","mixed","nest sampling","systematic","breeding","   0.123"
"Rough-legged hawk","2022","qarlikturvik valley"," 64.98","mixed","nest sampling","systematic","breeding","   0.000"
"Rough-legged hawk","2007","south plateau"," 12.24","upland","nest sampling","systematic","breeding","   0.163"
"Rough-legged hawk","2008","south plateau"," 12.24","upland","nest sampling","systematic","breeding","   0.327"
"Rough-legged hawk","2009","south plateau"," 12.24","upland","nest sampling","systematic","breeding","   0.000"
"Rough-legged hawk","2010","south plateau"," 12.24","upland","nest sampling","systematic","breeding","   0.817"
"Rough-legged hawk","2011","south plateau"," 12.24","upland","nest sampling","systematic","breeding","   0.000"
"Rough-legged hawk","2012","south plateau"," 12.24","upland","nest sampling","systematic","breeding","   0.000"
"Rough-legged hawk","2013","south plateau"," 12.24","upland","nest sampling","systematic","breeding","   0.000"
"Rough-legged hawk","2014","south plateau"," 12.24","upland","nest sampling","systematic","breeding","   0.490"
"Rough-legged hawk","2015","south plateau"," 12.24","upland","nest sampling","systematic","breeding","   0.327"
"Rough-legged hawk","2016","south plateau"," 12.24","upland","nest sampling","systematic","breeding","   0.654"
"Rough-legged hawk","2017","south plateau"," 12.24","upland","nest sampling","systematic","breeding","   0.327"
"Rough-legged hawk","2018","south plateau"," 12.24","upland","nest sampling","systematic","breeding","   0.000"
"Rough-legged hawk","2019","south plateau"," 12.24","upland","nest sampling","systematic","breeding","   0.817"
"Rough-legged hawk","2022","south plateau"," 12.24","upland","nest sampling","systematic","breeding","   0.000"
"Rough-legged hawk","2013","study area","388.80","mixed","nest sampling","systematic","breeding","   0.000"
"Rough-legged hawk","2014","study area","388.80","mixed","nest sampling","systematic","breeding","   0.154"
"Rough-legged hawk","2015","study area","388.80","mixed","nest sampling","systematic","breeding","   0.108"
"Rough-legged hawk","2016","study area","388.80","mixed","nest sampling","systematic","breeding","   0.154"
"Rough-legged hawk","2017","study area","388.80","mixed","nest sampling","systematic","breeding","   0.036"
"Rough-legged hawk","2018","study area","388.80","mixed","nest sampling","systematic","breeding","   0.041"
"Rough-legged hawk","2019","study area","388.80","mixed","nest sampling","systematic","breeding","   0.180"
"Rough-legged hawk","2022","study area","388.80","mixed","nest sampling","systematic","breeding","   0.015"
"Sandhill crane","2004","south qarlikturvik"," 33.33","mixed","nest sampling","opportunistic","breeding","   0.120"
"Sandhill crane","2005","south qarlikturvik"," 33.33","mixed","nest sampling","opportunistic","breeding","   0.060"
"Sandhill crane","2006","south qarlikturvik"," 33.33","mixed","nest sampling","opportunistic","breeding","   0.120"
"Sandhill crane","2007","south qarlikturvik"," 33.33","mixed","nest sampling","opportunistic","breeding","   0.240"
"Sandhill crane","2008","south qarlikturvik"," 33.33","mixed","nest sampling","opportunistic","breeding","   0.000"
"Sandhill crane","2009","south qarlikturvik"," 33.33","mixed","nest sampling","opportunistic","breeding","   0.240"
"Sandhill crane","2010","south qarlikturvik"," 33.33","mixed","nest sampling","opportunistic","breeding","   0.300"
"Sandhill crane","2011","south qarlikturvik"," 33.33","mixed","nest sampling","opportunistic","breeding","   0.300"
"Sandhill crane","2012","south qarlikturvik"," 33.33","mixed","nest sampling","opportunistic","breeding","   0.060"
"Sandhill crane","2013","south qarlikturvik"," 33.33","mixed","nest sampling","opportunistic","breeding","   0.120"
"Sandhill crane","2014","south qarlikturvik"," 33.33","mixed","nest sampling","opportunistic","breeding","   0.120"
"Sandhill crane","2015","south qarlikturvik"," 33.33","mixed","nest sampling","opportunistic","breeding","   0.180"
"Sandhill crane","2016","south qarlikturvik"," 33.33","mixed","nest sampling","opportunistic","breeding","   0.300"
"Sandhill crane","2017","south qarlikturvik"," 33.33","mixed","nest sampling","opportunistic","breeding","   0.120"
"Sandhill crane","2018","south qarlikturvik"," 33.33","mixed","nest sampling","opportunistic","breeding","   0.180"
"Sandhill crane","2019","south qarlikturvik"," 33.33","mixed","nest sampling","opportunistic","breeding","   0.420"
"Sandhill crane","2022","south qarlikturvik"," 33.33","mixed","nest sampling","opportunistic","breeding","   0.120"
"Snow goose","1999","camp 2","  0.44","wetland","nest sampling","systematic","breeding","  52.048"
"Snow goose","1999","camp 2","  1.16","mesic","nest sampling","systematic","breeding"," 115.517"
"Snow goose","2000","camp 2","  0.39","wetland","nest sampling","systematic","breeding"," 188.824"
"Snow goose","2000","camp 2","  0.92","mesic","nest sampling","systematic","breeding"," 191.304"
"Snow goose","2001","camp 2","  0.25","wetland","nest sampling","systematic","breeding"," 226.280"
"Snow goose","2001","camp 2","  0.40","mesic","nest sampling","systematic","breeding"," 500.000"
"Snow goose","2002","camp 2","  0.36","wetland","nest sampling","systematic","breeding"," 519.481"
"Snow goose","2002","camp 2","  0.84","mesic","nest sampling","systematic","breeding"," 259.524"
"Snow goose","2003","camp 2","  0.36","wetland","nest sampling","systematic","breeding"," 859.353"
"Snow goose","2003","camp 2","  0.68","mesic","nest sampling","systematic","breeding"," 285.294"
"Snow goose","2004","camp 2","  0.29","wetland","nest sampling","systematic","breeding"," 109.627"
"Snow goose","2004","camp 2","  1.24","mesic","nest sampling","systematic","breeding","   8.065"
"Snow goose","2005","camp 2","  0.30","wetland","nest sampling","systematic","breeding"," 407.420"
"Snow goose","2005","camp 2","  0.68","mesic","nest sampling","systematic","breeding","  85.294"
"Snow goose","2006","camp 2","  0.53","wetland","nest sampling","systematic","breeding"," 172.965"
"Snow goose","2006","camp 2","  1.12","mesic","nest sampling","systematic","breeding","  67.857"
"Snow goose","2007","camp 2","  0.34","wetland","nest sampling","systematic","breeding"," 453.349"
"Snow goose","2007","camp 2","  0.80","mesic","nest sampling","systematic","breeding","  40.000"
"Snow goose","2008","camp 2","  0.31","wetland","nest sampling","systematic","breeding"," 705.354"
"Snow goose","2008","camp 2","  0.68","mesic","nest sampling","systematic","breeding"," 138.235"
"Snow goose","2009","camp 2","  0.39","wetland","nest sampling","systematic","breeding"," 443.991"
"Snow goose","2009","camp 2","  0.56","mesic","nest sampling","systematic","breeding"," 289.286"
"Snow goose","2010","camp 2","  0.58","wetland","nest sampling","systematic","breeding"," 202.784"
"Snow goose","2010","camp 2","  0.80","mesic","nest sampling","systematic","breeding"," 132.500"
"Snow goose","2011","camp 2","  0.37","wetland","nest sampling","systematic","breeding"," 430.223"
"Snow goose","2011","camp 2","  0.56","mesic","nest sampling","systematic","breeding"," 239.286"
"Snow goose","2012","camp 2","  0.35","wetland","nest sampling","systematic","breeding"," 520.034"
"Snow goose","2012","camp 2","  1.20","mesic","nest sampling","systematic","breeding"," 110.000"
"Snow goose","2013","camp 2","  0.31","wetland","nest sampling","systematic","breeding"," 865.662"
"Snow goose","2013","camp 2","  0.24","mesic","nest sampling","systematic","breeding"," 466.667"
"Snow goose","2014","camp 2","  0.34","wetland","nest sampling","systematic","breeding"," 722.433"
"Snow goose","2014","camp 2","  0.40","mesic","nest sampling","systematic","breeding"," 775.000"
"Snow goose","2015","camp 2","  0.33","wetland","nest sampling","systematic","breeding"," 771.317"
"Snow goose","2015","camp 2","  0.36","mesic","nest sampling","systematic","breeding"," 327.778"
"Snow goose","2016","camp 2","  0.38","wetland","nest sampling","systematic","breeding"," 468.709"
"Snow goose","2016","camp 2","  0.28","mesic","nest sampling","systematic","breeding"," 421.429"
"Snow goose","2017","camp 2","  0.33","wetland","nest sampling","systematic","breeding"," 626.695"
"Snow goose","2017","camp 2","  0.24","mesic","nest sampling","systematic","breeding"," 466.667"
"Snow goose","2018","camp 2","  0.31","wetland","nest sampling","systematic","breeding"," 400.769"
"Snow goose","2018","camp 2","  0.24","mesic","nest sampling","systematic","breeding"," 375.000"
"Snow goose","2019","camp 2","  0.33","wetland","nest sampling","systematic","breeding"," 539.319"
"Snow goose","2019","camp 2","  0.40","mesic","nest sampling","systematic","breeding"," 400.000"
"Snow goose","2022","camp 2","  0.49","wetland","nest sampling","systematic","breeding"," 268.347"
"Snow goose","2022","camp 2","  0.60","mesic","nest sampling","systematic","breeding"," 233.333"
"Snow goose","2023","camp 2","  0.34","wetland","nest sampling","systematic","breeding"," 894.999"
"Snow goose","2023","camp 2","  0.68","mesic","nest sampling","systematic","breeding"," 161.765"
"Snowy owl","1996","black plateau"," 34.12","upland","nest sampling","systematic","breeding","   0.117"
"Snowy owl","1997","black plateau"," 34.12","upland","nest sampling","systematic","breeding","   0.000"
"Snowy owl","1998","black plateau"," 34.12","upland","nest sampling","systematic","breeding","   0.000"
"Snowy owl","1999","black plateau"," 34.12","upland","nest sampling","systematic","breeding","   0.000"
"Snowy owl","2000","black plateau"," 34.12","upland","nest sampling","systematic","breeding","   0.059"
"Snowy owl","2001","black plateau"," 34.12","upland","nest sampling","systematic","breeding","   0.000"
"Snowy owl","2002","black plateau"," 34.12","upland","nest sampling","systematic","breeding","   0.000"
"Snowy owl","2003","black plateau"," 34.12","upland","nest sampling","systematic","breeding","   0.000"
"Snowy owl","2004","black plateau"," 34.12","upland","nest sampling","systematic","breeding","   0.234"
"Snowy owl","2005","black plateau"," 34.12","upland","nest sampling","systematic","breeding","   0.000"
"Snowy owl","2006","black plateau"," 34.12","upland","nest sampling","systematic","breeding","   0.000"
"Snowy owl","2007","black plateau"," 34.12","upland","nest sampling","systematic","breeding","   0.000"
"Snowy owl","2008","black plateau"," 34.12","upland","nest sampling","systematic","breeding","   0.059"
"Snowy owl","2009","black plateau"," 34.12","upland","nest sampling","systematic","breeding","   0.000"
"Snowy owl","2010","black plateau"," 34.12","upland","nest sampling","systematic","breeding","   0.059"
"Snowy owl","2011","black plateau"," 34.12","upland","nest sampling","systematic","breeding","   0.000"
"Snowy owl","2012","black plateau"," 34.12","upland","nest sampling","systematic","breeding","   0.000"
"Snowy owl","2013","black plateau"," 34.12","upland","nest sampling","systematic","breeding","   0.000"
"Snowy owl","2014","black plateau"," 34.12","upland","nest sampling","systematic","breeding","   0.586"
"Snowy owl","2015","black plateau"," 34.12","upland","nest sampling","systematic","breeding","   0.000"
"Snowy owl","2016","black plateau"," 34.12","upland","nest sampling","systematic","breeding","   0.000"
"Snowy owl","2017","black plateau"," 34.12","upland","nest sampling","systematic","breeding","   0.000"
"Snowy owl","2018","black plateau"," 34.12","upland","nest sampling","systematic","breeding","   0.000"
"Snowy owl","2019","black plateau"," 34.12","upland","nest sampling","systematic","breeding","   0.117"
"Snowy owl","2022","black plateau"," 34.12","upland","nest sampling","systematic","breeding","   0.000"
"Snowy owl","2023","black plateau"," 34.12","upland","nest sampling","systematic","breeding","   0.000"
"Snowy owl","2012","camp 2"," 79.84","mixed","nest sampling","systematic","breeding","   0.000"
"Snowy owl","2013","camp 2"," 79.84","mixed","nest sampling","systematic","breeding","   0.000"
"Snowy owl","2014","camp 2"," 79.84","mixed","nest sampling","systematic","breeding","   0.301"
"Snowy owl","2015","camp 2"," 79.84","mixed","nest sampling","systematic","breeding","   0.000"
"Snowy owl","2016","camp 2"," 79.84","mixed","nest sampling","systematic","breeding","   0.025"
"Snowy owl","2017","camp 2"," 79.84","mixed","nest sampling","systematic","breeding","   0.000"
"Snowy owl","2018","camp 2"," 79.84","mixed","nest sampling","systematic","breeding","   0.000"
"Snowy owl","2019","camp 2"," 79.84","mixed","nest sampling","systematic","breeding","   0.000"
"Snowy owl","2022","camp 2"," 79.84","mixed","nest sampling","systematic","breeding","   0.000"
"Snowy owl","2023","camp 2"," 79.84","mixed","nest sampling","systematic","breeding","   0.000"
"Snowy owl","2012","camp 3"," 32.95","mixed","nest sampling","systematic","breeding","   0.000"
"Snowy owl","2013","camp 3"," 32.95","mixed","nest sampling","systematic","breeding","   0.000"
"Snowy owl","2014","camp 3"," 32.95","mixed","nest sampling","systematic","breeding","   0.182"
"Snowy owl","2015","camp 3"," 32.95","mixed","nest sampling","systematic","breeding","   0.000"
"Snowy owl","2016","camp 3"," 32.95","mixed","nest sampling","systematic","breeding","   0.000"
"Snowy owl","2017","camp 3"," 32.95","mixed","nest sampling","systematic","breeding","   0.000"
"Snowy owl","2018","camp 3"," 32.95","mixed","nest sampling","systematic","breeding","   0.000"
"Snowy owl","2019","camp 3"," 32.95","mixed","nest sampling","systematic","breeding","   0.061"
"Snowy owl","2022","camp 3"," 32.95","mixed","nest sampling","systematic","breeding","   0.000"
"Snowy owl","2023","camp 3"," 32.95","mixed","nest sampling","systematic","breeding","   0.000"
"Snowy owl","2012","camp 3 plateau"," 30.27","upland","nest sampling","systematic","breeding","   0.000"
"Snowy owl","2013","camp 3 plateau"," 30.27","upland","nest sampling","systematic","breeding","   0.000"
"Snowy owl","2014","camp 3 plateau"," 30.27","upland","nest sampling","systematic","breeding","   0.330"
"Snowy owl","2015","camp 3 plateau"," 30.27","upland","nest sampling","systematic","breeding","   0.000"
"Snowy owl","2016","camp 3 plateau"," 30.27","upland","nest sampling","systematic","breeding","   0.066"
"Snowy owl","2017","camp 3 plateau"," 30.27","upland","nest sampling","systematic","breeding","   0.000"
"Snowy owl","2018","camp 3 plateau"," 30.27","upland","nest sampling","systematic","breeding","   0.000"
"Snowy owl","2019","camp 3 plateau"," 30.27","upland","nest sampling","systematic","breeding","   0.066"
"Snowy owl","2022","camp 3 plateau"," 30.27","upland","nest sampling","systematic","breeding","   0.000"
"Snowy owl","2023","camp 3 plateau"," 30.27","upland","nest sampling","systematic","breeding","   0.000"
"Snowy owl","2012","dufour"," 33.08","mixed","nest sampling","systematic","breeding","   0.000"
"Snowy owl","2013","dufour"," 33.08","mixed","nest sampling","systematic","breeding","   0.000"
"Snowy owl","2014","dufour"," 33.08","mixed","nest sampling","systematic","breeding","   0.302"
"Snowy owl","2015","dufour"," 33.08","mixed","nest sampling","systematic","breeding","   0.000"
"Snowy owl","2016","dufour"," 33.08","mixed","nest sampling","systematic","breeding","   0.000"
"Snowy owl","2017","dufour"," 33.08","mixed","nest sampling","systematic","breeding","   0.000"
"Snowy owl","2018","dufour"," 33.08","mixed","nest sampling","systematic","breeding","   0.000"
"Snowy owl","2019","dufour"," 33.08","mixed","nest sampling","systematic","breeding","   0.000"
"Snowy owl","2022","dufour"," 33.08","mixed","nest sampling","systematic","breeding","   0.000"
"Snowy owl","2023","dufour"," 33.08","mixed","nest sampling","systematic","breeding","   0.000"
"Snowy owl","2012","goose point"," 41.22","mixed","nest sampling","systematic","breeding","   0.000"
"Snowy owl","2013","goose point"," 41.22","mixed","nest sampling","systematic","breeding","   0.000"
"Snowy owl","2014","goose point"," 41.22","mixed","nest sampling","systematic","breeding","   0.388"
"Snowy owl","2015","goose point"," 41.22","mixed","nest sampling","systematic","breeding","   0.000"
"Snowy owl","2016","goose point"," 41.22","mixed","nest sampling","systematic","breeding","   0.049"
"Snowy owl","2017","goose point"," 41.22","mixed","nest sampling","systematic","breeding","   0.000"
"Snowy owl","2018","goose point"," 41.22","mixed","nest sampling","systematic","breeding","   0.000"
"Snowy owl","2019","goose point"," 41.22","mixed","nest sampling","systematic","breeding","   0.000"
"Snowy owl","2022","goose point"," 41.22","mixed","nest sampling","systematic","breeding","   0.000"
"Snowy owl","2023","goose point"," 41.22","mixed","nest sampling","systematic","breeding","   0.000"
"Snowy owl","2012","malaview"," 60.10","mixed","nest sampling","systematic","breeding","   0.000"
"Snowy owl","2013","malaview"," 60.10","mixed","nest sampling","systematic","breeding","   0.000"
"Snowy owl","2014","malaview"," 60.10","mixed","nest sampling","systematic","breeding","   0.532"
"Snowy owl","2015","malaview"," 60.10","mixed","nest sampling","systematic","breeding","   0.000"
"Snowy owl","2016","malaview"," 60.10","mixed","nest sampling","systematic","breeding","   0.000"
"Snowy owl","2017","malaview"," 60.10","mixed","nest sampling","systematic","breeding","   0.000"
"Snowy owl","2018","malaview"," 60.10","mixed","nest sampling","systematic","breeding","   0.000"
"Snowy owl","2019","malaview"," 60.10","mixed","nest sampling","systematic","breeding","   0.000"
"Snowy owl","2022","malaview"," 60.10","mixed","nest sampling","systematic","breeding","   0.000"
"Snowy owl","2023","malaview"," 60.10","mixed","nest sampling","systematic","breeding","   0.000"
"Snowy owl","1996","qarlikturvik valley"," 64.98","mixed","nest sampling","systematic","breeding","   0.092"
"Snowy owl","1997","qarlikturvik valley"," 64.98","mixed","nest sampling","systematic","breeding","   0.000"
"Snowy owl","1998","qarlikturvik valley"," 64.98","mixed","nest sampling","systematic","breeding","   0.000"
"Snowy owl","1999","qarlikturvik valley"," 64.98","mixed","nest sampling","systematic","breeding","   0.000"
"Snowy owl","2000","qarlikturvik valley"," 64.98","mixed","nest sampling","systematic","breeding","   0.308"
"Snowy owl","2001","qarlikturvik valley"," 64.98","mixed","nest sampling","systematic","breeding","   0.000"
"Snowy owl","2002","qarlikturvik valley"," 64.98","mixed","nest sampling","systematic","breeding","   0.000"
"Snowy owl","2003","qarlikturvik valley"," 64.98","mixed","nest sampling","systematic","breeding","   0.000"
"Snowy owl","2004","qarlikturvik valley"," 64.98","mixed","nest sampling","systematic","breeding","   0.154"
"Snowy owl","2005","qarlikturvik valley"," 64.98","mixed","nest sampling","systematic","breeding","   0.000"
"Snowy owl","2006","qarlikturvik valley"," 64.98","mixed","nest sampling","systematic","breeding","   0.000"
"Snowy owl","2007","qarlikturvik valley"," 64.98","mixed","nest sampling","systematic","breeding","   0.000"
"Snowy owl","2008","qarlikturvik valley"," 64.98","mixed","nest sampling","systematic","breeding","   0.062"
"Snowy owl","2009","qarlikturvik valley"," 64.98","mixed","nest sampling","systematic","breeding","   0.000"
